ph,humidity,tempC,mq135,mq7,turbidity,fish_species
7.25,55.6,30.4,162,111,293,Snakehead
8.4,55,27.1,176,107,294,Silver Carp
7.96,52.6,28.1,187,107,284,Mrigal
7.7,59.1,30,182,123,224,Tilapia
6.81,57.1,28.9,155,125,275,Rohu
6.81,63,30.4,162,128,210,Common Carp
6.62,50.5,31.8,162,127,281,Snakehead
8.23,59.7,26.7,162,126,206,Silver Carp
7.7,61.4,30.3,169,107,271,Snakehead
7.92,61.4,27.4,185,129,221,Bighead Carp
6.54,63.3,28.5,186,118,212,Tilapia
8.44,60.9,26.2,194,101,195,Common Carp
8.16,63.9,26.8,158,107,218,Snakehead
6.92,55,27.9,166,120,252,Pangasius
6.86,57.5,28.1,184,104,259,Snakehead
6.87,50.2,31.4,167,129,286,Grass Carp
7.11,50.1,30.5,174,119,285,Snakehead
7.55,53.6,31.8,164,125,270,Snakehead
7.36,51.5,29.6,172,117,193,Pangasius
7.08,53.9,27.5,150,104,247,Snakehead
7.72,52.7,28,190,122,220,Bighead Carp
6.78,50.4,27.9,187,91,211,Bighead Carp
7.08,63.6,28,167,97,216,Catfish
7.23,50.1,30,150,122,274,Bighead Carp
7.41,61,29.2,188,124,273,Catfish
8.07,52.3,28.3,159,107,287,Pangasius
6.9,63.7,26.9,180,115,276,Common Carp
7.53,63.4,26.1,187,110,297,Bighead Carp
7.68,59.8,27.3,156,117,205,Pangasius
6.59,60.1,26.6,187,109,195,Mrigal
7.72,50.1,30.7,157,109,269,Snakehead
6.84,64.8,26.7,183,93,196,Rohu
6.63,63.2,30.3,158,125,203,Snakehead
8.4,63.4,28.3,174,123,192,Pangasius
8.43,59.9,26.4,176,102,286,Catfish
8.12,55.2,30.9,190,120,238,Tilapia
7.11,63.4,29.5,156,128,225,Pangasius
6.7,54.4,27.4,181,96,292,Rohu
7.87,58.4,31.4,158,106,218,Silver Carp
7.38,51.5,26.3,166,101,292,Pangasius
6.74,63.8,27.2,184,119,193,Snakehead
7.49,52.1,30.5,197,123,292,Pangasius
6.57,53.4,30.3,165,111,229,Snakehead
8.32,58.4,27.7,151,110,230,Common Carp
7.02,61.5,26.4,192,98,211,Common Carp
7.83,59.3,31.1,180,101,268,Pangasius
7.12,53.5,27.9,165,106,193,Tilapia
7.54,50,27.2,196,105,271,Mrigal
7.59,61.4,29.1,182,94,297,Snakehead
6.87,64.8,31.5,170,108,212,Grass Carp
8.44,62.1,26.3,166,117,291,Tilapia
8.05,56.9,30.6,184,106,193,Snakehead
8.38,63.6,29.4,156,111,257,Catfish
8.29,56.1,28.6,178,124,207,Rohu
7.7,57.9,30.5,160,104,190,Pangasius
8.34,57.2,31.8,179,108,221,Catfish
6.68,56.7,27.4,167,115,210,Catfish
6.89,61.6,26.9,195,124,227,Pangasius
6.59,57.9,31.5,165,112,215,Grass Carp
7.15,54.8,30,155,99,230,Silver Carp
7.28,53.9,28.6,151,111,238,Mrigal
7.04,50.6,29.4,192,100,274,Rohu
8.16,58.7,30.5,192,115,296,Silver Carp
7.21,53.4,30.6,159,90,282,Tilapia
7.06,52.2,31.5,153,125,230,Snakehead
7.59,59.8,28.6,198,110,296,Grass Carp
6.78,60.2,27.8,159,97,285,Silver Carp
8.1,61.3,29.8,158,109,248,Grass Carp
6.65,57.6,28.5,194,106,193,Bighead Carp
8.47,63.4,29.6,192,104,202,Mrigal
8.04,64,28.5,191,110,250,Catfish
6.9,62.1,26.9,173,90,240,Bighead Carp
6.51,59.5,28.8,154,92,224,Catfish
8.13,54.6,30.1,184,120,280,Pangasius
